Purchasing Power Parity Tables
Data Source,Worldbank Data
Last Updated Date,2_2018,,,http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD,,, 

Country Code,Country Name,PPP Factor,,Region,ITUC,,,,code
NER Niger ,Niger,3.0345117582886689,-,Africa,3.7083333333333335,est,,,NER
NGA Nigeria ,Nigeria,3.6473316344115339,-,Africa,5,,,,NGA
NIC Nicaragua ,Nicaragua,2.9237099041681942,-,Americas,3.4210526315789473,est,,,NIC
NLD Netherlands ,Netherlands,1.2371414609403513,-,Europe,1,,,,NLD
NOR Norway ,Norway,0.91144613113908035,-,Europe,1,,,,NOR
NPL Nepal ,Nepal,3.5079000577965997,-,Asia,4,,,,NPL
NRU Nauru ,Nauru,1.8860988073359262,-,Oceania,3,est,,,NRU
NZL New Zealand ,New Zealand,1.0760787421251647,-,Oceania,3,est,,,NZL
OMN Oman ,Oman,2.9989492247716245,-,Asia,4,,,,OMN
PAK Pakistan ,Pakistan,4.0161818085959498,-,Asia,4,,,,PAK
PAN Panama ,Panama,1.8300677990616934,-,Americas,4,,,,PAN
PER Peru ,Peru,2.2821651537971333,-,Americas,4,,,,PER
PHL Philippines ,Philippines,3.1476986949883816,-,Asia,5,,,,PHL
PLW Palau ,Palau,1.2236683068944152,-,Oceania,3,est,,,PLW
PNG Papua New Guinea ,Papua New Guinea,1.8178576569853162,-,Oceania,3,est,,,PNG
POL Poland ,Poland,2.3920792098053809,-,Europe,3,,,,POL
PRI Puerto Rico ,Puerto Rico,1.9628994497935313,est,Americas,3.4210526315789473,est,,,PRI
"PRK Korea, Democratic People's Republic of ","Korea, Dem. People’s Rep.",3.0027294367224551,est,Asia,4.1785714285714288,est,,,PRK
PRT Portugal ,Portugal,1.7166939907126855,-,Europe,3,,,,PRT
PRY Paraguay ,Paraguay,2.485477668859331,-,Americas,3,,,,PRY
"PSE Palestinian Territory, Occupied ",West Bank and Gaza,3.0027294367224551,est,Asia,4.1785714285714288,est,,,PSE
PYF French Polynesia ,French Polynesia,1.3563308370936336,est,Oceania,3,est,,,PYF
QAT Qatar ,Qatar,2.2754401989982163,-,Asia,5,,,,QAT
ROU Romania ,Romania,2.6955722747597277,-,Europe,3,,,,ROU
RUS Russian Federation ,Russian Federation,2.6821265780186163,-,Europe,2,,,,RUS
RWA Rwanda ,Rwanda,3.0422872212098131,-,Africa,3.7083333333333335,est,,,RWA
SAU Saudi Arabia ,Saudi Arabia,2.9277327693485242,-,Asia,5,,,,SAU
SDN Sudan ,Sudan,1.8034320862418214,-,Africa,6,,,,SDN
SEN Senegal ,Senegal,2.9628383355975485,-,Africa,2,,,,SEN
SGP Singapore ,Singapore,1.8374841917124456,-,Asia,3,,,,SGP
